ClusterID,Coordinate_1,Coordinate_2,Coordinate_3,Coordinate_4,Coordinate_5,Coordinate_6,Coordinate_7,Coordinate_8,Coordinate_9,Coordinate_10
CLuster-1,59.6370,11.5897,135.4697,28.6998,-60.8874,79.9181,-74.8824,-35.2241,-107.6492,-48.1782
CLuster-1,62.2901,13.8213,130.5044,28.5223,-64.8415,79.7885,-78.2657,-32.2776,-110.7216,-52.6237
CLuster-1,63.0448,11.8434,131.8266,23.7069,-60.8436,74.5133,-73.2754,-36.1678,-109.1055,-49.8895
CLuster-1,62.7371,14.9040,128.9998,29.2363,-59.4461,82.8341,-73.2807,-34.8371,-108.8103,-48.3737
CLuster-1,61.7032,12.1446,129.3343,24.1709,-63.3356,81.1835,-72.9388,-35.1700,-112.3610,-52.8283
CLuster-1,58.2587,12.5821,128.7024,28.6580,-65.9796,84.2999,-82.4097,-36.1761,-113.0146,-56.6491
CLuster-1,61.2911,3.3376,134.7309,31.3372,-62.2796,77.4387,-80.5779,-32.4576,-106.7349,-52.7180
CLuster-1,61.2138,13.7512,133.0790,31.4221,-64.2886,83.3737,-79.3916,-32.4635,-109.9602,-52.6134
CLuster-1,61.4996,12.4339,131.0271,28.4890,-61.6155,80.6483,-75.2104,-34.1947,-108.4699,-48.5498
CLuster-1,62.9090,16.0205,129.7509,29.1182,-62.6544,84.8409,-78.8367,-38.4340,-112.0396,-51.2559
CLuster-1,58.5196,8.5629,131.7471,29.6903,-59.8167,85.2360,-77.4096,-36.9116,-109.2026,-53.5289
CLuster-1,62.1755,11.5459,135.2807,26.1535,-62.4388,73.6069,-72.8265,-31.3002,-108.4369,-46.5973
CLuster-1,60.7439,15.6388,130.4312,28.2938,-65.5605,85.9735,-81.1009,-36.1739,-112.3018,-54.9646
CLuster-1,60.8199,13.8910,131.4557,31.4230,-61.8031,85.1273,-77.9260,-34.9831,-106.7391,-51.0567
CLuster-1,57.5505,12.3453,134.7629,27.1554,-67.3517,77.5561,-78.3747,-32.2931,-113.3904,-51.0789
CLuster-1,62.2201,13.4371,134.5452,25.9969,-61.0274,79.7723,-72.1103,-35.3245,-109.7258,-47.6556
CLuster-1,62.9852,9.2030,132.2281,28.5385,-63.5005,77.5856,-77.7456,-31.3026,-108.4663,-53.1195
CLuster-1,65.8582,15.0025,127.4415,28.2271,-63.1342,85.2327,-76.4156,-36.3643,-111.2802,-54.0928
CLuster-1,57.7592,11.3683,129.4714,30.7995,-64.8555,79.1311,-75.7127,-25.1820,-108.4867,-50.2588
CLuster-1,62.7201,11.8411,133.7552,33.1131,-63.2402,81.5678,-81.7422,-33.8371,-109.1102,-52.5223
CLuster-1,58.4481,10.2939,128.2723,29.8690,-63.7303,88.8918,-77.1227,-34.2428,-115.6366,-56.3658
CLuster-1,60.4349,8.4959,129.3454,27.1371,-64.1217,78.8631,-78.3187,-33.4652,-112.2642,-55.7092
CLuster-1,63.0432,13.5926,126.2904,29.9733,-66.5502,82.1242,-80.3754,-30.9269,-108.4792,-56.0262
CLuster-1,62.4564,14.1198,131.4254,22.6687,-60.8380,80.4703,-72.2298,-37.9893,-113.6641,-52.0314
CLuster-1,64.6062,14.8396,133.2163,26.0445,-64.6632,79.2537,-79.1022,-36.2201,-107.6865,-53.7807
CLuster-1,64.6222,18.3106,131.1029,28.5422,-61.8020,82.8539,-78.3799,-36.2444,-106.1936,-52.5375
CLuster-1,64.8504,7.4939,133.6081,25.3630,-62.4520,74.2703,-77.2233,-36.2219,-108.6227,-52.8313
CLuster-1,61.8634,11.2277,130.6064,26.9371,-61.1047,78.3993,-76.8352,-35.0091,-107.6633,-53.0323
CLuster-1,59.6985,5.3862,135.9858,26.3083,-62.5143,72.5544,-70.2257,-26.8428,-111.9956,-48.1197
CLuster-1,59.5180,18.3680,131.1579,25.8083,-65.2974,84.0102,-76.6070,-32.2440,-110.8629,-53.9665
CLuster-1,62.4736,17.0045,129.1853,29.9146,-60.2821,86.6305,-76.2714,-37.1115,-108.4844,-50.6786
CLuster-1,59.2368,10.0928,129.3724,27.2070,-61.1622,83.7711,-74.9862,-35.1230,-111.0403,-53.2641
CLuster-1,59.0623,9.9988,126.9737,33.0194,-63.0615,89.8626,-83.4607,-36.5763,-111.7321,-57.0147
CLuster-1,59.8411,12.7956,131.1962,30.0278,-62.3631,80.2339,-75.5976,-31.2716,-110.0950,-48.5497
CLuster-1,58.1206,8.6584,133.8606,26.4443,-66.3519,72.6267,-76.7847,-29.1767,-111.3664,-48.8542
CLuster-1,62.4726,8.3500,132.2379,29.7334,-62.8313,79.3022,-82.5508,-37.6585,-108.3987,-53.4179
CLuster-1,60.4821,5.6266,129.5693,28.5900,-63.9451,80.5074,-77.2406,-30.8268,-112.3664,-55.9783
CLuster-1,58.9188,13.1247,129.1438,25.5622,-62.4313,76.8078,-69.4970,-30.2127,-111.9748,-47.0819
CLuster-1,55.4871,8.3769,134.3657,26.3235,-59.8685,89.4227,-71.6928,-35.2869,-115.1959,-53.6363
CLuster-1,65.2856,10.2312,130.9770,26.7070,-61.5174,78.0939,-76.4489,-35.6210,-107.0685,-53.0332
CLuster-1,60.6252,11.8101,129.2561,27.9867,-67.4213,77.5762,-82.5740,-35.1020,-110.7097,-53.5076
CLuster-1,66.8275,14.6604,134.4677,25.9732,-67.6839,75.9340,-80.8341,-34.6137,-108.7663,-55.3402
CLuster-1,62.8178,16.8184,128.3705,27.2958,-62.8800,85.3039,-77.0101,-36.0360,-110.9298,-54.9283
CLuster-1,57.6171,8.3842,136.6126,27.2980,-55.1533,78.9840,-65.6894,-30.9439,-108.0230,-42.8851
CLuster-1,60.6827,16.6353,134.2139,29.4265,-65.3117,81.9562,-77.0675,-31.0062,-112.1455,-51.5286
CLuster-1,57.9439,18.6352,128.2871,29.6396,-65.3496,84.0275,-73.9825,-28.0843,-111.9972,-49.8631
CLuster-1,57.1762,11.4977,129.4916,31.2504,-61.4212,91.0277,-76.3029,-34.1144,-114.3273,-52.6566
CLuster-1,63.2754,11.9088,128.9661,25.1306,-60.4648,79.1819,-72.8346,-34.8962,-107.8874,-51.5432
CLuster-1,56.4741,8.8624,127.1187,29.9859,-60.1193,86.2326,-71.0111,-29.2974,-112.8435,-50.7630
CLuster-1,59.6431,11.0450,132.3279,28.3626,-63.8754,84.2115,-75.1724,-30.0857,-112.4561,-54.0820
CLuster-1,54.4570,8.0242,136.5555,30.0475,-62.5179,81.9292,-74.3535,-30.3815,-111.8322,-48.6239
CLuster-1,61.0007,11.8437,130.3384,24.2436,-67.0484,75.2424,-74.8868,-29.8856,-111.1251,-51.4430
CLuster-1,65.0926,7.9250,131.4544,23.0179,-64.0753,72.1445,-73.3908,-31.1122,-109.6192,-53.0123
CLuster-1,58.7404,8.4608,129.8553,26.2496,-67.1177,76.8223,-74.8973,-28.7542,-112.7164,-51.7282
CLuster-1,58.2198,9.2900,132.7308,28.0078,-66.8451,76.3738,-76.8941,-29.2113,-111.9929,-50.7491
CLuster-1,64.3118,17.8377,128.8329,25.7516,-61.0281,84.0912,-74.3410,-37.9991,-108.7291,-51.8771
CLuster-1,64.3841,14.7351,133.2243,25.3922,-63.7119,77.2355,-76.3132,-35.8259,-109.1694,-50.9244
CLuster-1,61.3575,11.6032,134.3191,26.6619,-60.6154,81.1324,-71.6270,-31.6077,-110.1051,-49.5784
CLuster-1,65.4337,18.9234,128.2932,30.2410,-58.9753,83.7093,-78.8161,-39.4456,-103.0119,-49.0581
CLuster-1,57.9667,13.6213,131.1310,27.6930,-65.1186,82.1400,-79.5098,-33.1842,-112.6686,-54.0843
CLuster-1,62.4554,11.7816,133.7568,28.1995,-62.4860,81.6157,-76.7362,-35.7241,-109.3412,-52.3866
CLuster-1,58.3659,4.8513,133.6565,25.2611,-60.3012,75.6687,-70.0059,-29.8267,-112.0590,-49.5166
CLuster-1,64.6271,14.3068,130.4082,32.7746,-61.3429,85.8056,-86.0010,-42.6655,-105.6088,-53.6516
CLuster-1,60.1073,15.5462,130.2269,29.3721,-59.4701,85.8926,-73.0387,-36.7107,-108.0392,-47.5164
CLuster-1,60.9590,13.3336,131.2467,24.6091,-63.5660,85.1865,-74.6502,-36.3173,-112.5582,-54.3871
CLuster-1,61.7380,16.1824,132.4088,27.1102,-62.2951,85.4985,-78.7279,-39.5649,-109.7390,-53.7132
CLuster-1,62.1101,9.8236,130.7833,26.5688,-59.4679,82.4456,-70.7121,-33.5208,-108.3967,-50.0925
CLuster-1,61.4600,14.4018,129.6305,29.1286,-61.0980,82.3043,-77.3986,-36.7950,-108.6280,-49.3375
CLuster-1,60.4868,9.6876,135.7780,25.6248,-66.8054,76.1174,-77.6469,-33.8036,-115.1966,-52.8982
CLuster-1,59.3350,13.2305,128.2422,30.0969,-63.5850,80.9403,-75.7277,-29.2574,-108.9176,-50.2267
CLuster-1,59.8912,9.9591,127.6746,29.0428,-61.6893,85.0681,-76.1906,-35.3602,-109.9943,-54.3303
CLuster-1,63.2335,7.6350,131.4589,26.8185,-62.2697,78.8814,-75.2897,-33.2094,-111.5155,-55.8754
CLuster-1,65.9363,13.3019,137.1769,23.9520,-66.9311,68.1122,-78.4574,-34.3960,-106.2786,-49.2000
CLuster-1,60.9689,11.7142,132.7859,25.3458,-68.1233,75.1995,-79.1600,-32.3008,-111.7050,-53.5098
CLuster-1,62.1789,14.5862,128.2499,26.4712,-60.1105,82.7876,-74.2219,-37.5798,-110.8395,-50.9886
CLuster-1,62.6638,18.9687,134.5684,31.9347,-64.6328,84.2664,-82.8453,-37.8419,-108.4630,-50.9621
CLuster-1,63.8665,8.9940,135.9466,29.6082,-57.6352,80.0948,-76.0275,-37.0829,-104.8878,-50.3678
CLuster-1,62.0748,12.5755,132.4154,29.0000,-68.4166,80.6073,-81.3405,-32.1656,-110.7986,-55.3812
CLuster-1,58.8939,18.5336,129.8679,31.4130,-62.1319,90.1491,-80.6766,-37.4781,-111.0821,-52.7297
CLuster-1,61.7170,12.0463,135.7194,27.0358,-66.3740,76.8654,-78.9971,-32.0116,-109.9284,-51.2855
CLuster-1,62.3318,10.1404,135.5561,26.8948,-61.7311,79.0795,-72.4909,-32.0535,-111.5922,-50.1909
CLuster-1,60.3142,12.2021,134.0669,26.0990,-60.4406,78.3039,-71.3265,-32.9974,-110.9156,-46.3552
